rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
1849,"'s-Hertogenbosch-Utrecht Centraal","'s-Hertogenbosch - Utrecht Centraal",151,,,aanrijding,collision,aanrijding,collision,accidents,"2012-01-01 02:20:01","2012-01-01 03:06:01",44
1850,"Rotterdam C-Den Haag C","Den Haag HS - Rotterdam Centraal",11,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-01-01 08:02:03","2012-01-01 10:16:01",132
1851,Mönchengladbach-Venlo,"Hamm (Westf.) - Venlo",128,,,"problemen op het spoor in het buitenland","railway problems abroad","problemen op het spoor in het buitenland","railway problems abroad",logistical,"2012-01-01 08:56:01","2012-01-01 14:52:01",354
1852,Deventer-Amersfoort,"Apeldoorn - Deventer",87,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-01-01 20:38:01","2012-01-01 21:44:01",22
1853,Sittard-Visé,"Liège-Guillemins - Maastricht, Maastricht - Maastricht Randwyck, Maastricht - Sittard","74,75,121",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-01-02 06:30:03","2012-01-02 11:16:01",256
1854,Geldermalsen-Dordrecht,"Dordrecht - Geldermalsen",55,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-01-02 06:32:01","2012-01-02 07:40:02",64
1855,"Lelystad C-Amsterdam C/Schiphol","Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","144,145",,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-01-02 20:24:01","2012-01-03 00:10:01",210
1856,"Hilversum-Lelystad C","Almere Oostvaarders - Utrecht Centraal",149,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-01-02 20:46:02","2012-01-03 00:10:02",188
1857,Roosendaal-Breda,"Breda - Roosendaal",20,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-01-02 21:02:02","2012-01-02 22:02:01",58
1858,"Utrecht Centraal","'s-Hertogenbosch - Utrecht Centraal, Almere Oostvaarders - Utrecht Centraal, Amersfoort - Utrecht Centraal, Amsterdam Centraal - Utrecht Centraal, Arnhem Centraal - Utrecht Centraal, Baarn - Utrecht Centraal, Den Haag Centraal - Utrecht Centraal, Hilversum - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rhenen - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal, Tiel - Utrecht Centraal, Utrecht Centraal - Utrecht Maliebaan","40,44,51,133,134,136,137,142,143,147,149,150,151,166",,,"inzet van de politie","police action","inzet van de politie","police action",external,"2012-01-03 05:54:01","2012-01-03 06:48:01",52
1859,Ede-Wageningen-Arnhem,"Arnhem Centraal - Utrecht Centraal",133,,,stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2012-01-03 07:00:01","2012-01-03 09:04:01",122
1860,"Leiden Centraal-Schiphol","Leiden Centraal - Schiphol Airport",22,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-01-03 08:04:01","2012-01-03 13:08:01",302
1861,"Schiphol-Utrecht Centraal","Schiphol Airport - Utrecht Centraal",137,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-01-03 08:04:03","2012-01-03 12:36:01",268
1862,"Schiphol-Hilversum/Lelystad C","Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport","144,148",,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-01-03 08:04:04","2012-01-03 12:36:01",268
1863,Heerlen-Sittard,"Heerlen - Sittard",77,,,koperdiefstal,"copper theft",koperdiefstal,"copper theft",external,"2012-01-03 09:04:01","2012-01-03 12:06:02",180
1864,Zutphen-Hengelo,"Hengelo - Zutphen",90,,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-01-03 10:04:01","2012-01-03 12:06:02",120
1865,Arnhem-Winterswijk,"Arnhem Centraal - Winterswijk",82,,,overwegstoring,"level crossing failure",overwegstoring,"level crossing failure",infrastructure,"2012-01-03 11:16:02","2012-01-03 12:06:02",48
1866,"Den Helder-Alkmaar","Alkmaar - Den Helder",162,,,"de weersomstandigheden","weather circumstances","de weersomstandigheden","weather circumstances",weather,"2012-01-03 11:38:01","2012-01-03 16:30:01",290
1867,"Alphen a/d Rijn-Utrecht Centraal","Leiden Centraal - Utrecht Centraal",147,,,"defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2012-01-03 14:26:01","2012-01-03 20:38:01",368
